IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.88.181,80,80,false,SIN,Asia Pacific,Singapore,37,11.13
47.236.144.48,2052,2052,false,SIN,Asia Pacific,Singapore,27,11.13
8.209.246.24,8880,8880,false,SIN,Asia Pacific,Singapore,153,11.13
8.222.164.209,8880,8880,false,SIN,Asia Pacific,Singapore,4,11.13
8.219.126.240,2052,2052,false,SIN,Asia Pacific,Singapore,19,11.13
47.236.145.180,2052,2052,false,SIN,Asia Pacific,Singapore,14,11.13
47.236.94.113,2052,2052,false,SIN,Asia Pacific,Singapore,16,11.12
8.219.137.50,2083,2083,true,SIN,Asia Pacific,Singapore,90,11.12
8.219.53.222,2096,2096,true,SIN,Asia Pacific,Singapore,115,11.12
47.245.55.99,2086,2086,false,NRT,Asia Pacific,Tokyo,81,11.11
8.219.208.69,2095,2095,false,SIN,Asia Pacific,Singapore,13,11.11
8.219.215.12,2087,2087,true,SIN,Asia Pacific,Singapore,56,11.11
47.236.82.218,2096,2096,true,SIN,Asia Pacific,Singapore,99,11.11
47.74.34.135,2083,2083,true,NRT,Asia Pacific,Tokyo,116,11.10
8.219.247.203,2087,2087,true,SIN,Asia Pacific,Singapore,45,11.10
8.222.174.108,2052,2052,false,SIN,Asia Pacific,Singapore,11,11.10
8.219.186.189,443,443,true,SIN,Asia Pacific,Singapore,55,11.09
8.222.237.131,2082,2082,false,SIN,Asia Pacific,Singapore,5,11.09
8.222.153.11,8880,8880,false,HKG,Asia Pacific,Hong Kong,119,11.09
8.219.228.186,8880,8880,false,SIN,Asia Pacific,Singapore,43,11.08
8.219.93.85,2086,2086,false,SIN,Asia Pacific,Singapore,19,11.08
8.209.243.137,8880,8880,false,LAX,North America,Los Angeles,184,11.08
8.222.144.117,443,443,true,SIN,Asia Pacific,Singapore,137,11.08
8.222.147.203,8443,8443,true,SIN,Asia Pacific,Singapore,109,11.08
47.236.114.167,2087,2087,true,SIN,Asia Pacific,Singapore,67,11.08
8.219.134.117,2087,2087,true,SIN,Asia Pacific,Singapore,88,11.07
8.209.215.247,8443,8443,true,NRT,Asia Pacific,Tokyo,128,11.07
8.219.134.117,2087,2087,true,SIN,Asia Pacific,Singapore,136,11.07
8.219.43.243,2086,2086,false,SIN,Asia Pacific,Singapore,7,11.07
8.219.142.191,2082,2082,false,SIN,Asia Pacific,Singapore,32,11.07
47.74.26.131,2087,2087,true,NRT,Asia Pacific,Tokyo,252,11.07
47.236.7.246,2083,2083,true,SIN,Asia Pacific,Singapore,22,11.07
8.222.144.117,8880,8880,false,SIN,Asia Pacific,Singapore,27,11.06
8.218.65.237,2095,2095,false,HKG,Asia Pacific,Hong Kong,60,11.06
47.74.12.139,80,80,false,NRT,Asia Pacific,Tokyo,94,11.06
8.219.101.138,8443,8443,true,SIN,Asia Pacific,Singapore,116,11.05
47.74.4.47,2087,2087,true,LAX,North America,Los Angeles,223,11.05
47.74.26.196,2083,2083,true,HKG,Asia Pacific,Hong Kong,224,11.04
47.74.0.183,2086,2086,false,NRT,Asia Pacific,Tokyo,76,11.04
8.218.22.210,2053,2053,true,HKG,Asia Pacific,Hong Kong,97,11.04
47.245.52.153,2052,2052,false,NRT,Asia Pacific,Tokyo,107,11.03
47.245.118.70,8080,8080,false,SIN,Asia Pacific,Singapore,13,11.03
47.245.114.163,2082,2082,false,SIN,Asia Pacific,Singapore,36,11.03
8.222.168.234,80,80,false,SIN,Asia Pacific,Singapore,13,11.03
8.219.61.52,2086,2086,false,SIN,Asia Pacific,Singapore,4,11.02
8.222.222.64,2095,2095,false,SIN,Asia Pacific,Singapore,10,11.02
8.222.147.203,2087,2087,true,SIN,Asia Pacific,Singapore,54,11.01
47.236.7.206,2083,2083,true,SIN,Asia Pacific,Singapore,104,11.01
8.219.174.213,8080,8080,false,SIN,Asia Pacific,Singapore,14,11.01
8.209.243.137,2095,2095,false,HKG,Asia Pacific,Hong Kong,170,11.01
47.245.84.155,2095,2095,false,SIN,Asia Pacific,Singapore,15,11.01
8.219.122.96,8880,8880,false,SIN,Asia Pacific,Singapore,26,11.01
47.74.37.50,2087,2087,true,HKG,Asia Pacific,Hong Kong,176,11.01
47.245.54.197,8080,8080,false,NRT,Asia Pacific,Tokyo,106,11.01
8.222.193.65,2086,2086,false,SIN,Asia Pacific,Singapore,13,11.00
47.236.83.196,2082,2082,false,SIN,Asia Pacific,Singapore,21,11.00
8.222.153.11,2086,2086,false,HKG,Asia Pacific,Hong Kong,129,11.00
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,93,11.00
8.210.55.134,80,80,false,HKG,Asia Pacific,Hong Kong,71,11.00
47.245.54.197,2095,2095,false,SIN,Asia Pacific,Singapore,165,11.00
47.74.7.51,2083,2083,true,NRT,Asia Pacific,Tokyo,127,11.00
47.245.53.101,80,80,false,NRT,Asia Pacific,Tokyo,94,11.00
8.222.150.197,2087,2087,true,SIN,Asia Pacific,Singapore,116,10.99
8.219.121.24,8443,8443,true,SIN,Asia Pacific,Singapore,181,10.99
47.74.5.150,8443,8443,true,NRT,Asia Pacific,Tokyo,140,10.99
8.219.73.21,2083,2083,true,SIN,Asia Pacific,Singapore,127,10.99
8.219.4.122,2053,2053,true,SIN,Asia Pacific,Singapore,68,10.98
8.219.122.55,2086,2086,false,SIN,Asia Pacific,Singapore,10,10.97
8.219.113.27,8443,8443,true,SIN,Asia Pacific,Singapore,168,10.97
8.219.111.175,8080,8080,false,SIN,Asia Pacific,Singapore,11,10.97
47.74.52.188,80,80,false,HKG,Asia Pacific,Hong Kong,189,10.97
8.222.145.110,8880,8880,false,SIN,Asia Pacific,Singapore,5,10.96
47.91.2.165,2087,2087,true,LAX,North America,Los Angeles,188,10.96
47.74.11.219,2052,2052,false,NRT,Asia Pacific,Tokyo,82,10.96
47.74.41.136,8443,8443,true,NRT,Asia Pacific,Tokyo,142,10.95
8.222.190.225,2087,2087,true,SIN,Asia Pacific,Singapore,62,10.95
